"","ba�os","m2","jardin","ascensor","parking","piscina","terraza","habitaciones","a_reformar","tipo_vendedor","tipo_inmueble","latitude","longitude","precio","precio_final","distrito","planta","vistas","variacion_precio","dias_venta"
"6737",3,243,NA,1,1,NA,NA,4,0,2,1,39.4677018,-0.3695223,770000,770000,"ciutat vella",5,"exterior",0,41
"6756",1,70,0,0,0,0,0,2,0,2,1,39.4671348,-0.3307808,118000,118000,"poblats marítims",NA,"",0,37
"6775",3,286,NA,1,0,NA,1,5,1,2,1,39.4681082,-0.3772156,549000,549000,"l'eixample",8,"exterior",0,41
"6792",1,88,NA,0,0,NA,1,3,1,2,1,39.4636562,-0.381824,150000,150000,"extramurs",NA,"",0,16
"6820",2,91,NA,1,0,NA,NA,3,1,2,1,39.4876025,-0.3924477,99000,99000,"campanar",1,"exterior",0,16
"6901",2,102,NA,1,NA,NA,1,2,0,2,1,39.4761125,-0.3644702,415000,415000,"el pla del real",NA,"",0,0
"6911",1,110,NA,1,0,NA,NA,3,0,2,1,39.4493643,-0.3719657,170000,170000,"quatre carreres",9,"exterior",0,25
"7073",1,79,NA,NA,NA,NA,NA,1,0,2,1,39.485008,-0.4005561,163280,163280,"campanar",NA,"",0,0
"7223",1,53,NA,0,0,0,0,2,0,2,1,39.4526044,-0.3938678,118000,126000,"patraix",2,"exterior",8000,41
"7243",1,100,NA,1,0,NA,1,3,0,2,1,39.4904276,-0.3874014,150000,150000,"benicalap",1,"exterior",0,13
"7258",2,95,1,1,1,1,1,2,0,2,1,39.4582266,-0.3969456,187300,187300,"patraix",2,"exterior",0,25
"7267",1,150,0,0,0,0,1,3,0,1,1,39.4583809,-0.3353516,110000,110000,"poblats marítims",1,"interior",0,0
"7292",1,119,0,1,0,0,NA,2,0,2,1,39.4647068,-0.3746514,385000,385000,"l'eixample",8,"exterior",0,28
"7296",1,70,NA,0,0,NA,1,2,0,2,1,39.492112,-0.3849762,83000,83000,"benicalap",NA,"",0,8
