propertycode;ad_characteristics_bathNumber;ad_characteristics_constructedArea;ad_characteristics_hasGarden;ad_characteristics_hasLift;ad_characteristics_hasParking;ad_characteristics_hasSwimmingPool;ad_characteristics_hasTerrace;ad_characteristics_roomNumber;ad_operation;ad_owner_type;price_first;ad_typology;date_insert;latitude;longitude;price_last;price;date_last;distrito;day_insert;day_last;tiempo_venta;vendido
2278800;2.0;120.0;;;;;;;2;1;1950;6;2022-03-01 14:23:05.086302;394.630.774;-0.3651917;1950;1950;2022-03-04 22:03:53.171102;l'eixample;01/03/2022;04/03/2022;3;1
2293380;0.0;215.0;;;;;;;1;1;150000;6;2022-02-24 21:14:00.653740;394.473.638;-0.3320648;150000;150000;2022-03-11 18:34:26.497970;poblats marítims;24/02/2022;11/03/2022;15;0
2293989;2.0;340.0;;;;;;;1;1;560000;6;2022-02-24 22:08:21.686912;394.689.244;-0.3892439;560000;560000;2022-03-11 18:37:41.325113;extramurs;24/02/2022;11/03/2022;15;0
2295536;0.0;80.0;;;;;;;2;1;400;6;2022-03-01 15:54:13.353367;394.889.949;-0.3662288;400;400;2022-03-04 22:09:42.026366;benimaclet;01/03/2022;04/03/2022;3;1
2297571;1.0;95.0;;;;;;;1;1;125000;6;2022-02-24 22:42:28.803988;394.646.498;-0.3456309;125000;125000;2022-03-11 18:39:35.639265;camins al grau;24/02/2022;11/03/2022;15;0
2302406;2.0;180.0;;;;;;;1;1;330000;6;2022-02-24 23:04:09.858636;394.726.295;-0.34480190000000005;330000;330000;2022-03-11 18:39:38.320903;algirós;24/02/2022;11/03/2022;15;0
2313375;2.0;220.0;;;;;;;1;1;210000;6;2022-02-24 21:56:50.037332;394.700.776;-0.4122227;210000;210000;2022-03-11 18:36:43.592117;l'olivereta;24/02/2022;11/03/2022;15;0
2323141;2.0;150.0;;;;;;;1;1;190000;6;2022-02-24 20:47:37.113099;394.980.638;-0.3776753;190000;190000;2022-03-11 18:34:01.033699;rascanya;24/02/2022;11/03/2022;15;0
2325918;1.0;60.0;;;;;;;2;1;499;6;2022-03-01 14:46:02.022814;394.680.107;-0.3816296;499;499;2022-03-04 22:08:12.112484;extramurs;01/03/2022;04/03/2022;3;1
2328173;2.0;220.0;;;;;;;2;1;1800;6;2022-03-01 13:52:32.148134;394.594.905;-0.359852;1800;1800;2022-03-04 22:00:49.555296;quatre carreres;01/03/2022;04/03/2022;3;1
2329573;2.0;108.0;;;;;;;1;1;105000;6;2022-02-24 21:04:47.863765;394.581.043;-0.3727021;105000;105000;2022-03-11 18:33:29.780545;quatre carreres;24/02/2022;11/03/2022;15;0
2330375;3.0;555.0;;;;;;;1;1;440000;6;2022-02-24 22:26:07.733857;394.531.055;-0.3909567;440000;440000;2022-03-11 18:36:45.996733;jesús;24/02/2022;11/03/2022;15;0
2330401;6.0;730.0;;;;;;;1;1;1100000;6;2022-02-24 22:09:14.598116;394.676.678;-0.3785165;1100000;1100000;2022-03-11 18:37:49.732484;extramurs;24/02/2022;11/03/2022;15;0
25197842;1.0;55.0;;;;;;;2;1;300;6;2022-03-01 15:51:47.463378;394.915.735;-0.3910012;300;300;2022-03-04 22:09:39.866169;benicalap;01/03/2022;04/03/2022;3;1
25344059;3.0;90.0;;;;;;;2;2;550;6;2022-03-01 15:09:11.327356;3.945.071.770.000.000;-0.3851383;550;550;2022-03-04 22:04:35.134794;jesús;01/03/2022;04/03/2022;3;1
25499785;2.0;43.0;;;;;;;2;1;490;6;2022-03-01 15:44:50.665471;394.800.123;-0.3964455;490;490;2022-03-04 22:08:16.289881;campanar;01/03/2022;04/03/2022;3;1
25843920;0.0;60.0;;;;;;;2;1;300;6;2022-03-01 15:51:51.781674;3.949.501.179.999.990;-0.3832032;300;300;2022-03-04 22:09:39.791353;benicalap;01/03/2022;04/03/2022;3;1
25883640;2.0;560.0;;;;;;;1;1;540000;6;2022-02-24 22:09:50.213688;394.739.255;-0.3854524;540000;540000;2022-03-11 18:37:49.483834;extramurs;24/02/2022;11/03/2022;15;0
26079794;1.0;135.0;;;;;;;1;1;120000;6;2022-02-24 21:58:52.147706;394.682.902;-0.4169573;120000;120000;2022-03-11 18:36:40.507324;l'olivereta;24/02/2022;11/03/2022;15;0
26173127;0.0;260.0;;;;;;;2;1;650;6;2022-03-01 15:05:39.787620;3.945.493.610.000.000;-0.382316;650;650;2022-03-04 22:05:33.110878;jesús;01/03/2022;04/03/2022;3;1
26174168;2.0;175.0;;;;;;;2;1;1000;6;2022-03-01 16:03:51.381528;394.761.821;-0.35104309999999994;1000;1000;2022-03-04 22:10:13.188946;algirós;01/03/2022;04/03/2022;3;1
26403240;2.0;240.0;;;;;;;1;2;350000;6;2022-02-24 22:35:58.493925;394.742.134;-0.3798299000000001;350000;350000;2022-03-11 18:37:39.996287;ciutat vella;24/02/2022;11/03/2022;15;0
26443849;0.0;1490.0;;;;;;;2;2;1400;6;2022-03-01 16:00:09.800741;394.955.819;-0.3931185;1400;1400;2022-03-04 22:09:33.462182;benicalap;01/03/2022;04/03/2022;3;1
26793185;1.0;10.0;;;;;;;2;1;150;6;2022-03-01 15:56:52.608747;394.879.143;-0.3614519000000001;150;150;2022-03-04 22:09:38.567355;benimaclet;01/03/2022;04/03/2022;3;1
26924491;0.0;361.0;;;;;;;1;2;200000;6;2022-02-24 22:09:31.489103;394.711.484;-0.3895231;200000;200000;2022-03-11 18:37:49.559348;extramurs;24/02/2022;11/03/2022;15;0
27200412;1.0;130.0;;;;;;;1;2;99000;6;2022-02-24 22:20:31.804678;394.431.686;-0.3876746;99000;99000;2022-03-11 18:37:17.534791;jesús;24/02/2022;11/03/2022;15;0
27351821;1.0;760.0;;;;;;;1;2;1195000;6;2022-02-24 22:29:29.296808;394.716.939;-0.3779346;1195000;1195000;2022-03-11 18:38:09.897094;ciutat vella;24/02/2022;11/03/2022;15;0
27355861;1.0;37.0;;;;;;;2;2;850;6;2022-03-01 14:35:34.648112;394.650.509;-0.3680439;850;850;2022-03-04 22:03:09.293142;l'eixample;01/03/2022;04/03/2022;3;1
27770590;3.0;200.0;;;;;;;1;1;350000;6;2022-02-24 21:46:19.375980;394.668.901;-0.3646083;350000;350000;2022-03-11 18:36:42.601697;l'eixample;24/02/2022;11/03/2022;15;0
27792985;3.0;568.0;;;;;;;1;2;315000;6;2022-02-24 22:43:36.389333;394.634.669;-0.3480499;315000;315000;2022-03-11 18:38:50.206308;camins al grau;24/02/2022;11/03/2022;15;0
27804239;0.0;100.0;;;;;;;1;1;120000;6;2022-02-24 22:58:31.010116;3.950.040.900.000.000;-0.3954918;120000;120000;2022-03-11 18:38:18.678113;benicalap;24/02/2022;11/03/2022;15;0
27993543;1.0;113.0;;;;;;;1;1;90000;6;2022-02-24 21:33:17.216119;394.842.176;-0.3686182;90000;90000;2022-03-11 18:35:17.061609;la saïdia;24/02/2022;11/03/2022;15;0
28075020;1.0;75.0;;;;;;;1;1;175000;6;2022-02-24 21:04:54.349280;394.513.343;-0.3796736;175000;175000;2022-03-11 18:33:29.667034;quatre carreres;24/02/2022;11/03/2022;15;0
28110710;2.0;230.0;;;;;;;2;2;3500;6;2022-03-01 14:53:24.439150;394.696.287;-0.382499;3500;3500;2022-03-04 22:05:39.711711;extramurs;01/03/2022;04/03/2022;3;1
28127299;2.0;225.0;;;;;;;2;2;1400;6;2022-03-01 14:49:24.130262;394.661.161;-0.385777;1400;1400;2022-03-04 22:07:50.703798;extramurs;01/03/2022;04/03/2022;3;1
28164835;1.0;89.0;;;;;;;1;1;59900;6;2022-02-24 23:07:45.343535;394.985.993;-0.4209616;59900;59900;2022-03-11 18:40:07.864126;pobles de l'oest;24/02/2022;11/03/2022;15;0
28204644;0.0;209.0;;;;;;;1;2;100000;6;2022-02-24 21:57:14.028959;394.677.279;-0.3954017;100000;100000;2022-03-11 18:36:43.484070;l'olivereta;24/02/2022;11/03/2022;15;0
28208635;0.0;80.0;;;;;;;2;2;500;6;2022-03-01 14:03:04.250654;394.888.225;-0.372255;500;500;2022-03-04 22:01:51.608162;la saïdia;01/03/2022;04/03/2022;3;1
28208804;0.0;72.0;;;;;;;2;2;500;6;2022-03-01 14:03:05.642057;394.888.484;-0.3723352;500;500;2022-03-04 22:01:51.531442;la saïdia;01/03/2022;04/03/2022;3;1
28390433;1.0;376.0;;;;;;;1;1;170000;6;2022-02-24 22:55:39.763360;394.907.394;-0.3891479000000001;170000;170000;2022-03-11 18:38:42.301542;benicalap;24/02/2022;11/03/2022;15;0
28422344;0.0;550.0;;;;;;;1;1;250000;6;2022-02-24 23:19:23.884540;391.297.929;-0.28577709999999995;250000;250000;2022-03-11 18:41:39.156175;patraix;24/02/2022;11/03/2022;15;0
28485157;3.0;74.0;;;;;;;2;2;700;6;2022-03-01 15:46:27.602852;394.857.517;-0.3900355;700;700;2022-03-04 22:08:15.886201;campanar;01/03/2022;04/03/2022;3;1
28533744;2.0;186.0;;;;;;;1;2;145000;6;2022-02-24 21:33:44.458800;394.843.667;-0.3729958;145000;145000;2022-03-11 18:35:45.642803;la saïdia;24/02/2022;11/03/2022;15;0
28621700;0.0;202.0;;;;;;;1;2;380000;6;2022-02-24 21:46:58.499583;394.638.209;-0.3675204;380000;380000;2022-03-11 18:36:46.359162;l'eixample;24/02/2022;11/03/2022;15;0
28698213;2.0;100.0;;;;;;;2;2;500;6;2022-03-01 15:04:13.235045;39.455.539;-0.3940334;500;500;2022-03-04 22:05:34.054150;jesús;01/03/2022;04/03/2022;3;1
28753412;2.0;170.0;;;;;;;2;1;700;6;2022-03-01 15:03:23.048860;394.528.615;-0.3869264;700;700;2022-03-04 22:05:36.232160;jesús;01/03/2022;04/03/2022;3;1
