id;ad_characteristics_bathNumber;ad_characteristics_constructedArea;ad_characteristics_hasGarden;ad_characteristics_hasLift;ad_characteristics_hasParking;ad_characteristics_hasSwimmingPool;ad_characteristics_hasTerrace;ad_characteristics_roomNumber;ad_condition_isGoodCondition;ad_condition_isNeedsRenovating;ad_operation;ad_owner_type;ad_typology;address_location_x;date_insert;date_update;latitude;longitude;price;url;price_last;date_last;address_location_y;distrito;ascensor;ascensor_bool;planta;vistas;variacion_precio;day_insert;day_last;tiempo_venta;vendido
896;2.0;110.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1;2;1;"[""Calle Caballeros"", ""Barrio El Mercat"", ""Distrito Ciutat Vella"", ""València"", ""Valencia, València""]";2021-12-30 15:34:40.830399;2021-12-30 15:34:40.830399;394.773.171;-0.3776758;450000;https://www.idealista.com/inmueble/27706244/;450000;2022-02-23 11:47:55.131181;"[""Calle Caballeros"", ""Barrio El Mercat"", ""Distrito Ciutat Vella"", ""València"", ""Valencia, València""]";ciutat vella;con ascensor;1.0;2.0;exterior;0;30/12/2021;23/02/2022;55;0
920;1.0;62.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1;1;1;"[""Calle de las Acacias, 26"", ""Barrio Benicalap"", ""Distrito Benicalap"", ""València"", ""Valencia, València""]";2022-01-11 22:23:26.475372;2022-01-11 22:23:26.475372;394.912.387;-0.3880711;135000;https://www.idealista.com/inmueble/27885469/;135000;2022-01-11 22:23:23.504605;"[""Calle de las Acacias, 26"", ""Barrio Benicalap"", ""Distrito Benicalap"", ""València"", ""Valencia, València""]";benicalap;sin ascensor;0.0;2.0;interior;0;11/01/2022;11/01/2022;0;1
923;3.0;212.0;0.0;1.0;1.0;0.0;0.0;5.0;1.0;0.0;1;2;1;"[""Calle Doctor Ferran"", ""Barrio Mestalla"", ""Distrito El Pla del Real"", ""València"", ""Valencia, València""]";2021-12-30 19:46:58.529632;2021-12-30 19:46:58.529632;3.947.101.110.000.000;-0.3550075;502000;https://www.idealista.com/inmueble/27925767/;502000;2022-01-27 06:12:50.564080;"[""Calle Doctor Ferran"", ""Barrio Mestalla"", ""Distrito El Pla del Real"", ""València"", ""Valencia, València""]";el pla del real;con ascensor;1.0;4.0;exterior;0;30/12/2021;27/01/2022;28;1
924;3.0;257.0;0.0;1.0;1.0;0.0;1.0;4.0;1.0;0.0;1;2;1;"[""Calle Doctor Ferran"", ""Barrio Mestalla"", ""Distrito El Pla del Real"", ""València"", ""Valencia, València""]";2021-12-30 19:50:18.455921;2021-12-30 19:50:18.455921;3.947.101.110.000.000;-0.3567075;672000;https://www.idealista.com/inmueble/27937507/;672000;2022-02-23 11:38:59.413917;"[""Calle Doctor Ferran"", ""Barrio Mestalla"", ""Distrito El Pla del Real"", ""València"", ""Valencia, València""]";el pla del real;con ascensor;1.0;5.0;exterior;0;30/12/2021;23/02/2022;55;0
925;3.0;203.0;0.0;1.0;1.0;0.0;1.0;4.0;1.0;0.0;1;2;1;"[""Calle Doctor Ferran"", ""Barrio Mestalla"", ""Distrito El Pla del Real"", ""València"", ""Valencia, València""]";2021-12-30 19:47:00.393980;2021-12-30 19:47:00.393980;394.694.111;-0.3588075;608000;https://www.idealista.com/inmueble/27937663/;608000;2022-02-23 11:38:59.444562;"[""Calle Doctor Ferran"", ""Barrio Mestalla"", ""Distrito El Pla del Real"", ""València"", ""Valencia, València""]";el pla del real;con ascensor;1.0;5.0;exterior;0;30/12/2021;23/02/2022;55;0
930;3.0;202.0;0.0;1.0;1.0;0.0;1.0;4.0;1.0;0.0;1;2;1;"[""Calle Doctor Ferran"", ""Barrio Mestalla"", ""Distrito El Pla del Real"", ""València"", ""Valencia, València""]";2021-12-30 19:47:02.314381;2021-12-30 19:47:02.314381;3.947.101.110.000.000;-0.3569075;515000;https://www.idealista.com/inmueble/27949282/;515000;2022-02-23 11:38:19.818038;"[""Calle Doctor Ferran"", ""Barrio Mestalla"", ""Distrito El Pla del Real"", ""València"", ""Valencia, València""]";el pla del real;con ascensor;1.0;6.0;exterior;0;30/12/2021;23/02/2022;55;0
931;1.0;120.0;0.0;1.0;0.0;0.0;1.0;4.0;1.0;0.0;1;1;1;"[""Calle En Gil, 10"", ""Barrio El Mercat"", ""Distrito Ciutat Vella"", ""València"", ""Valencia, València""]";2021-12-30 15:35:03.437164;2021-12-30 15:35:03.437164;394.726.449;-0.3789985;400000;https://www.idealista.com/inmueble/27970972/;400000;2022-02-23 11:47:57.020172;"[""Calle En Gil, 10"", ""Barrio El Mercat"", ""Distrito Ciutat Vella"", ""València"", ""Valencia, València""]";ciutat vella;con ascensor;1.0;6.0;exterior;0;30/12/2021;23/02/2022;55;0
936;2.0;119.0;0.0;1.0;1.0;0.0;1.0;5.0;1.0;0.0;1;2;1;"[""Calle Cuenca"", ""Barrio Patraix"", ""Distrito Patraix"", ""València"", ""Valencia, València""]";2021-12-30 18:59:29.019675;2021-12-30 18:59:29.019675;394.582.938;-0.3917841;160000;https://www.idealista.com/inmueble/28026314/;160000;2022-01-19 01:46:53.072340;"[""Calle Cuenca"", ""Barrio Patraix"", ""Distrito Patraix"", ""València"", ""Valencia, València""]";patraix;con ascensor;1.0;6.0;exterior;0;30/12/2021;19/01/2022;20;1
955;2.0;150.0;0.0;1.0;0.0;0.0;0.0;5.0;1.0;0.0;1;1;1;"[""Plaza Ciudad de Brujas, 4"", ""Barrio El Mercat"", ""Distrito Ciutat Vella"", ""València"", ""Valencia, València""]";2021-12-30 15:29:09.971189;2021-12-30 15:29:09.971189;394.735.493;-0.3799382;710000;https://www.idealista.com/inmueble/28165794/;699000;2022-02-23 11:46:22.540818;"[""Plaza Ciudad de Brujas, 4"", ""Barrio El Mercat"", ""Distrito Ciutat Vella"", ""València"", ""Valencia, València""]";ciutat vella;con ascensor;1.0;9.0;exterior;-11000;30/12/2021;23/02/2022;55;0
974;2.0;126.0;1.0;1.0;;1.0;1.0;3.0;1.0;0.0;1;2;1;"[""Barrio Penya-Roja"", ""Distrito Camins al Grau"", ""València"", ""Valencia, València""]";2022-01-11 21:19:13.400113;2022-01-11 21:19:13.400113;394.567.776;-0.342604;460000;https://www.idealista.com/inmueble/28239180/;460000;2022-02-23 11:44:00.666405;"[""Barrio Penya-Roja"", ""Distrito Camins al Grau"", ""València"", ""Valencia, València""]";camins al grau;con ascensor;1.0;;;0;11/01/2022;23/02/2022;43;0
