"";"baños";"m2";"jardin";"ascensor";"piscina";"terraza";"habitaciones";"a_reformar";"tipo_vendedor";"latitud";"longitud";"url";"precio_final";"distrito";"barrio";"armarios.empotrados";"acceso.adaptado";"aire.acondicionado";"balcon";"trastero";"garaje.incluido";"calefaccion";"planta";"vistas";"variacion_precio";"dias_venta";"planta_cat";"preciom2"
"417";1;68;"0";"0";"0";"0";3;"0";"2";39,4869898;-0,3576383;"https://www.idealista.com/inmueble/91157332/";102000;"benimaclet";"benimaclet";"0";"0";"0";"0";"0";"0";"0";4;"1";0;16;"Media";1500
"418";2;94;"0";"1";"0";"0";3;"0";"2";39,4617422;-0,3334214;"https://www.idealista.com/inmueble/91169543/";175000;"poblats marítims";"el grau";"0";"1";"1";"1";"0";"0";"0";2;"1";0;37;"Baja";1861,70212765957
"419";2;142;"0";"1";"0";"1";4;"0";"2";39,4739172;-0,3860769;"https://www.idealista.com/inmueble/91176247/";400000;"extramurs";"el botànic";"1";"0";"0";"0";"1";"1";"1";1;"1";-35000;28;"Baja";2816,9014084507
"420";2;100;"0";"1";"0";"0";1;"1";"2";39,4619422;-0,3312214;"https://www.idealista.com/inmueble/91180611/";175000;"poblats marítims";"el grau";"0";"0";"1";"1";"0";"0";"0";2;"1";0;40;"Baja";1750
"421";2;95;"0";"1";"0";"0";3;"0";"2";39,4681418;-0,3923117;"https://www.idealista.com/inmueble/91184462/";159000;"patraix";"patraix";"0";"0";"0";"0";"0";"0";"0";1;"1";0;29;"Baja";1673,68421052632
"422";1;85;"0";"0";"0";"0";4;"0";"2";39,4611433;-0,3776551;"https://www.idealista.com/inmueble/91184481/";169900;"l'eixample";"russafa";"1";"0";"1";"1";"0";"0";"0";3;"1";0;12;"Media";1998,82352941176
"423";3;184;"0";"1";"0";"0";7;"1";"2";39,4678429;-0,3747412;"https://www.idealista.com/inmueble/91191093/";480000;"ciutat vella";"sant francesc";"1";"0";"1";"1";"0";"0";"0";5;"1";0;20;"Alta";2608,69565217391
"424";1;164;"1";"1";"1";"1";2;"0";"2";39,492021;-0,4040453;"https://www.idealista.com/inmueble/91209167/";340000;"campanar";"sant pau";"1";"1";"1";"0";"0";"1";"1";0;"1";0;16;"Baja";2073,17073170732
"425";2;101;"0";"1";"0";"0";3;"0";"2";39,4613526;-0,3715977;"https://www.idealista.com/inmueble/91210905/";218000;"l'eixample";"russafa";"1";"0";"0";"1";"0";"0";"1";5;"1";0;44;"Alta";2158,41584158416
"426";2;110;"0";"1";"0";"0";4;"1";"2";39,4542204;-0,387987;"https://www.idealista.com/inmueble/91237966/";145000;"jesús";"la raiosa";"0";"0";"1";"1";"0";"1";"0";3;"1";0;4;"Media";1318,18181818182
