ba�os;m2;jardin;ascensor;piscina;terraza;habitaciones;a_reformar;tipo_vendedor;precio_final;distrito;armarios.empotrados;acceso.adaptado;aire.acondicionado;balcon;trastero;garaje.incluido;calefaccion;planta;vistas;variacion_precio;dias_venta
2;169;0;1;0;0;4;0;2;300000;algirós;1;0;1;1;0;0;1;2;1;0;16
2;68;0;1;0;0;2;0;2;150000;poblats marítims;0;0;0;0;0;0;0;2;1;0;37
2;165;1;1;0;1;3;0;2;1200000;ciutat vella;0;0;1;0;0;0;1;5;1;0;20
2;238;0;1;0;0;6;0;2;1950000;ciutat vella;0;0;0;1;1;0;1;2;1;0;28
1;85;0;1;0;0;3;0;2;140000;poblats marítims;1;0;1;0;0;0;1;3;1;0;40
1;70;0;0;0;1;3;0;2;86000;camins al grau;0;1;0;1;0;0;1;0;1;0;16
1;70;0;0;0;0;3;0;2;63000;la saïdia;0;1;0;0;0;0;1;4;1;0;28
3;286;0;1;0;1;7;0;2;765000;el pla del real;1;0;1;0;0;1;1;10;1;0;28
1;66;0;1;0;1;2;0;2;110000;l'olivereta;0;1;1;0;0;0;1;0;0;0;32
2;118;0;1;0;0;4;0;2;179500;l'olivereta;0;0;0;1;0;0;1;3;1;0;32
1;88;0;0;0;0;4;1;2;82500;jesús;1;0;0;1;0;0;0;3;1;0;16
1;90;0;1;0;0;3;0;1;115000;quatre carreres;0;1;1;0;0;0;1;6;1;0;15
1;90;0;1;0;0;3;0;1;110000;rascanya;0;0;1;0;0;0;0;3;1;0;28
2;110;1;1;1;1;3;0;2;350000;rascanya;1;0;1;0;0;1;0;9;1;0;28
1;69;0;0;0;0;2;0;2;69500;patraix;0;0;0;0;0;0;1;4;1;-3500;28
1;65;0;0;0;1;2;0;2;81000;camins al grau;0;1;0;1;0;0;1;3;1;0;16
1;101;0;0;0;1;4;0;2;71500;jesús;1;1;0;1;0;0;1;4;1;-1500;16
3;226;0;1;0;1;4;0;2;672000;el pla del real;1;0;1;0;0;0;1;5;1;0;49
3;170;0;1;0;1;4;0;2;516000;el pla del real;1;0;0;0;0;0;1;6;1;0;49
2;150;0;1;0;0;4;0;2;250000;patraix;1;0;1;1;0;0;0;5;1;0;19
1;77;0;1;0;1;2;0;2;103000;patraix;1;1;0;0;0;0;0;0;0;0;13
2;115;0;0;0;0;3;0;2;125500;jesús;1;0;1;1;0;0;0;5;1;0;16
1;65;0;0;0;0;2;1;2;79000;poblats marítims;0;0;0;0;0;0;1;4;1;0;0
1;70;0;0;0;0;2;0;2;85000;jesús;1;0;0;1;0;0;0;1;1;0;16
2;88;0;1;0;0;2;0;2;205000;camins al grau;1;0;1;1;0;0;1;4;1;0;4
1;66;0;1;0;0;3;0;2;170000;poblats marítims;1;0;1;0;0;0;0;6;1;0;37
2;95;0;1;0;0;4;0;2;129000;rascanya;1;0;0;0;0;0;0;3;1;0;15
3;150;0;0;0;0;3;0;1;184999;benimaclet;1;0;1;0;0;0;1;3;1;0;32
2;190;1;1;1;1;4;0;2;460000;rascanya;1;0;1;0;0;0;0;9;1;0;20
1;85;0;1;0;0;3;1;2;120000;algirós;0;0;0;1;0;0;1;7;1;0;0
3;178;0;1;0;0;4;0;2;280000;campanar;1;1;1;0;0;0;1;1;1;0;4
1;101;0;1;1;0;2;0;2;197000;campanar;1;1;1;0;0;0;1;2;1;0;4
1;66;0;0;0;1;2;0;2;42500;patraix;0;1;0;1;0;0;1;4;1;-2500;28
1;72;0;0;0;1;2;0;2;86000;poblats marítims;0;1;0;1;0;0;1;5;0;0;0
1;64;0;1;0;0;3;0;2;114000;l'olivereta;1;0;0;0;1;0;0;3;1;5000;8
1;95;0;1;0;0;4;0;2;128000;patraix;1;1;0;1;0;0;1;3;1;0;28
2;120;0;1;0;1;4;0;1;150000;rascanya;1;1;0;0;0;0;0;4;1;0;28
1;62;0;0;0;1;2;0;2;64000;rascanya;1;1;0;0;0;0;1;0;1;0;0
3;266;0;1;0;1;3;0;2;728000;l'eixample;1;0;1;0;0;0;1;4;1;-71000;20
